player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,name,date_of_birth,country_of_citizenship,position,height_in_cm,contract_expiration_date,highest_market_value_in_eur,age_at_transfer,is_owner_mogul,from_club_uefa_coeff,plays_left_foot,plays_right_foot,season_yellow_cards,season_red_cards,season_goals,season_assists,season_minutes_played
502676,2024-08-27,24/25,1049,31,Valencia,Liverpool,30000000,45000000.0,Giorgi Mamardashvili,9/29/2000 0:00,Georgia,Goalkeeper,197.0,6/30/2025 0:00,45000000,23,1,54.0,1.0,0.0,3,1,0,0,3285
834397,2024-08-27,24/25,1184,631,KRC Genk,Chelsea,20000000,1000000.0,Mike Penders,7/31/2005 0:00,Belgium,Goalkeeper,200.0,6/30/2025 0:00,5000000,19,1,41.0,1.0,0.0,0,0,0,0,90
406634,2024-08-26,24/25,371,1237,Celtic,Brighton,29500000,20000000.0,Matt O'Riley,11/21/2000 0:00,Denmark,Midfield,189.0,6/30/2029 0:00,20000000,23,0,72.0,1.0,0.0,4,0,14,16,3782
401320,2024-08-25,24/25,1132,677,Burnley,Ipswich,14200000,7000000.0,Dara O'Shea,3/4/1999 0:00,Ireland,Defender,189.0,6/30/2029 0:00,10000000,25,0,41.131,0.0,1.0,5,1,4,4,3255
498237,2024-08-25,24/25,720,703,FC Porto,Nottm Forest,11000000,12000000.0,David Carmo,7/19/1999 0:00,Angola,Defender,196.0,6/30/2025 0:00,20000000,25,0,154.75,1.0,0.0,12,0,0,0,1420
369316,2024-08-24,24/25,36,1237,Fenerbahce,Brighton,30000000,30000000.0,Ferdi Kadıoğlu,10/7/1999 0:00,Türkiye,Defender,174.0,6/30/2028 0:00,30000000,24,0,78.75,0.0,1.0,3,0,2,5,3683
559794,2024-08-24,24/25,289,677,Sunderland,Ipswich,17700000,15000000.0,Jack Clarke,11/23/2000 0:00,England,Attack,181.0,6/30/2029 0:00,15000000,23,0,,0.0,1.0,0,0,0,0,0
108354,2024-08-23,24/25,873,1003,Crystal Palace,Leicester,5900000,4000000.0,Jordan Ayew,9/11/1991 0:00,Ghana,Attack,182.0,6/30/2026 0:00,10000000,32,0,,0.0,1.0,9,0,4,8,2676
260827,2024-08-23,24/25,873,931,Crystal Palace,Fulham,29500000,35000000.0,Joachim Andersen,5/31/1996 0:00,Denmark,Defender,192.0,6/30/2029 0:00,35000000,28,1,,0.0,1.0,8,0,2,3,3597
333014,2024-08-22,24/25,1132,931,Burnley,Fulham,23550000,20000000.0,Sander Berge,2/14/1998 0:00,Norway,Midfield,195.0,6/30/2029 0:00,22000000,26,1,41.131,0.0,1.0,11,0,2,2,3218
541231,2024-08-22,24/25,31,1148,Liverpool,Brentford,23600000,12000000.0,Sepp van den Berg,12/20/2001 0:00,Netherlands,Defender,192.0,6/30/2029 0:00,18000000,22,0,224.5,0.0,1.0,10,0,3,0,2880
462250,2024-08-21,24/25,13,631,Atlético Madrid,Chelsea,52000000,30000000.0,João Félix,11/10/1999 0:00,Portugal,Attack,181.0,6/30/2031 0:00,100000000,24,1,220.5,0.0,1.0,5,0,10,6,2143
406638,2024-08-19,24/25,148,1003,Tottenham,Leicester,23500000,15000000.0,Oliver Skipp,9/16/2000 0:00,England,Midfield,175.0,6/30/2029 0:00,20000000,23,0,155.25,0.0,1.0,4,0,0,0,861
538977,2024-08-19,24/25,399,1237,Leeds,Brighton,46700000,18000000.0,Georginio Rutter,4/20/2002 0:00,France,Attack,182.0,6/30/2028 0:00,28000000,22,0,,1.0,0.0,0,0,0,0,0
292139,2024-08-16,24/25,164,677,Blackburn,Ipswich,10600000,7000000.0,Sammie Szmodics,9/24/1995 0:00,Ireland,Midfield,168.0,6/30/2028 0:00,10000000,28,0,,0.0,1.0,0,0,0,0,0
711337,2024-08-16,24/25,720,989,FC Porto,Bournemouth,37000000,35000000.0,Evanilson,10/6/1999 0:00,Brazil,Attack,183.0,,35000000,24,0,154.75,1.0,1.0,5,1,17,6,2637
743498,2024-08-16,24/25,1132,148,Burnley,Tottenham,29300000,10000000.0,Wilson Odobert,11/28/2004 0:00,France,Attack,182.0,6/30/2029 0:00,18000000,19,1,41.131,0.0,1.0,3,0,4,3,2285
745191,2024-08-16,24/25,3938,703,CA Talleres,Nottm Forest,12000000,13000000.0,Ramón Sosa,8/31/1999 0:00,Paraguay,Attack,179.0,6/30/2029 0:00,13000000,24,0,,0.0,1.0,0,0,0,0,0
700106,2024-08-14,24/25,39,1237,1.FSV Mainz 05,Brighton,31500000,20000000.0,Brajan Gruda,5/31/2004 0:00,Germany,Attack,178.0,6/30/2028 0:00,25000000,20,0,32.223,1.0,0.0,5,0,4,3,1740
326031,2024-08-13,24/25,27,985,Bayern Munich,Man Utd,45000000,65000000.0,Matthijs de Ligt,8/12/1999 0:00,Netherlands,Defender,189.0,6/30/2029 0:00,75000000,25,1,271.25,0.0,1.0,5,0,2,1,1924
340456,2024-08-13,24/25,27,985,Bayern Munich,Man Utd,15000000,30000000.0,Noussair Mazraoui,11/14/1997 0:00,Morocco,Defender,183.0,6/30/2028 0:00,30000000,26,1,271.25,0.0,1.0,4,0,0,4,1982
477758,2024-08-13,24/25,985,379,Man Utd,West Ham,17600000,20000000.0,Aaron Wan-Bissaka,11/26/1997 0:00,England,Defender,183.0,6/30/2031 0:00,40000000,26,1,202.5,0.0,1.0,5,0,0,3,2411
513970,2024-08-13,24/25,131,989,Barcelona,Bournemouth,10000000,8000000.0,Julián Araujo,8/13/2001 0:00,Mexico,Defender,176.0,6/30/2029 0:00,8000000,23,0,231.25,0.0,1.0,6,1,2,0,1654
559263,2024-08-12,24/25,31,1148,Liverpool,Brentford,23400000,14000000.0,Fábio Carvalho,8/30/2002 0:00,Portugal,Midfield,170.0,6/30/2029 0:00,20000000,21,0,224.5,0.0,1.0,0,0,0,0,360
487465,2024-08-11,24/25,543,631,Wolves,Chelsea,60000000,55000000.0,Pedro Neto,3/9/2000 0:00,Portugal,Attack,173.0,6/30/2031 0:00,55000000,24,1,41.131,1.0,0.0,5,0,3,11,1729
258889,2024-08-10,24/25,989,148,Bournemouth,Tottenham,64300000,40000000.0,Dominic Solanke,9/14/1997 0:00,England,Attack,186.0,6/30/2030 0:00,45000000,26,1,,0.0,1.0,5,0,21,4,3553
609556,2024-08-08,24/25,350,762,Sheff Utd,Newcastle,11600000,3000000.0,William Osula,8/4/2003 0:00,Denmark,Attack,186.0,6/30/2029 0:00,7000000,21,1,,0.0,1.0,4,0,3,0,946
75489,2024-08-05,24/25,16,379,Bor. Dortmund,West Ham,27000000,15000000.0,Niclas Füllkrug,2/9/1993 0:00,Germany,Attack,189.0,6/30/2028 0:00,15000000,31,1,191.75,0.0,1.0,1,0,16,10,3605
474701,2024-08-03,24/25,399,379,Leeds,West Ham,29300000,20000000.0,Crysencio Summerville,10/30/2001 0:00,Netherlands,Attack,174.0,6/30/2029 0:00,22000000,22,1,,0.0,1.0,0,0,0,0,0
494880,2024-08-03,24/25,1050,931,Villarreal,Fulham,6700000,6000000.0,Jorge Cuenca,11/17/1999 0:00,Spain,Defender,190.0,6/30/2028 0:00,8000000,24,1,138.0,1.0,0.0,9,0,3,1,2655
392765,2024-08-02,24/25,11,931,Arsenal,Fulham,31800000,22000000.0,Emile Smith Rowe,7/28/2000 0:00,England,Midfield,182.0,6/30/2029 0:00,40000000,24,1,189.0,0.0,1.0,0,0,0,2,475
146509,2024-08-01,24/25,984,677,West Brom,Ipswich,590000,1500000.0,Conor Townsend,3/4/1993 0:00,England,Defender,183.0,6/30/2026 0:00,2500000,31,0,,1.0,0.0,0,0,0,0,0
410225,2024-08-01,24/25,244,873,Marseille,Crystal Palace,15000000,18000000.0,Ismaïla Sarr,2/25/1998 0:00,Senegal,Attack,185.0,6/30/2029 0:00,30000000,26,0,79.0,0.0,1.0,5,0,5,6,2074
663244,2024-08-01,24/25,2420,703,Vit. Guimarães,Nottm Forest,7000000,12000000.0,Jota Silva,8/1/1999 0:00,Portugal,Attack,179.0,6/30/2028 0:00,12000000,25,0,,0.0,1.0,9,0,12,6,3026
585323,2024-07-30,24/25,1050,631,Villarreal,Chelsea,24500000,20000000.0,Filip Jörgensen,4/16/2002 0:00,Denmark,Goalkeeper,192.0,6/30/2031 0:00,20000000,22,1,138.0,0.0,1.0,0,0,0,0,270
711544,2024-07-30,24/25,1041,29,Olympique Lyon,Everton,19500000,12000000.0,Jake O'Brien,5/15/2001 0:00,Ireland,Defender,197.0,6/30/2028 0:00,15000000,23,1,126.75,0.0,1.0,0,0,0,0,0
890290,2024-07-30,24/25,506,989,Juventus,Bournemouth,15200000,10000000.0,Dean Huijsen,4/14/2005 0:00,Spain,Defender,197.0,6/30/2030 0:00,12000000,19,0,191.25,1.0,1.0,0,0,0,0,0
502821,2024-07-29,24/25,1025,11,Bologna,Arsenal,45000000,45000000.0,Riccardo Calafiori,5/19/2002 0:00,Italy,Defender,188.0,6/30/2029 0:00,45000000,22,1,33.576,1.0,0.0,2,0,0,0,69
485706,2024-07-22,24/25,29,405,Everton,Aston Villa,59350000,50000000.0,Amadou Onana,8/16/2001 0:00,Belgium,Midfield,195.0,6/30/2029 0:00,55000000,22,1,41.131,0.0,1.0,10,0,1,2,2586
746833,2024-07-22,24/25,51663,631,Atlanta,Chelsea,10100000,5000000.0,Caleb Wiley,12/22/2004 0:00,United States,Defender,180.0,6/30/2025 0:00,8000000,19,1,115.5,,,0,0,0,0,0
665390,2024-07-19,24/25,3008,405,Hull City,Aston Villa,16000000,15000000.0,Jaden Philogene,2/8/2002 0:00,England,Attack,181.0,6/30/2029 0:00,15000000,22,1,,0.0,1.0,0,0,1,0,77
413507,2024-07-18,24/25,430,703,Fiorentina,Nottm Forest,12300000,15000000.0,Nikola Milenković,10/12/1997 0:00,Serbia,Defender,195.0,6/30/2029 0:00,35000000,26,0,81.0,0.0,1.0,5,0,2,1,2605
743591,2024-07-18,24/25,1095,281,Troyes,Man City,25000000,50000000.0,Savinho,4/10/2004 0:00,Brazil,Attack,176.0,6/30/2029 0:00,50000000,20,1,,1.0,0.0,0,0,0,2,151
923831,2024-07-18,24/25,1082,985,LOSC Lille,Man Utd,62000000,50000000.0,Leny Yoro,11/13/2005 0:00,France,Defender,190.0,6/30/2029 0:00,55000000,18,1,72.0,0.0,1.0,0,0,0,0,768
371021,2024-07-17,24/25,1132,677,Burnley,Ipswich,9550000,7000000.0,Arijanet Muric,11/7/1998 0:00,Kosovo,Goalkeeper,198.0,6/30/2028 0:00,12000000,25,0,41.131,0.0,1.0,0,0,0,0,0
435648,2024-07-14,24/25,1025,985,Bologna,Man Utd,42500000,50000000.0,Joshua Zirkzee,5/22/2001 0:00,Netherlands,Attack,193.0,6/30/2029 0:00,50000000,23,1,33.576,0.0,1.0,2,0,2,2,882
693095,2024-07-12,24/25,3008,677,Hull City,Ipswich,21500000,15000000.0,Jacob Greaves,9/12/2000 0:00,England,Defender,193.0,6/30/2029 0:00,20000000,23,0,,1.0,0.0,0,0,0,0,0
805714,2024-07-12,24/25,26,631,FC Basel,Chelsea,14000000,3000000.0,Renato Veiga,7/29/2003 0:00,Portugal,Defender,190.0,6/30/2031 0:00,8000000,20,1,91.5,1.0,0.0,3,0,0,0,638
533662,2024-07-11,24/25,350,405,Sheff Utd,Aston Villa,16650000,13000000.0,Cameron Archer,12/9/2001 0:00,England,Attack,175.0,6/30/2028 0:00,18000000,22,1,,0.0,1.0,0,0,0,0,66
461833,2024-07-09,24/25,800,1003,Atalanta BC,Leicester,14000000,8000000.0,Caleb Okoli,7/13/2001 0:00,Italy,Defender,191.0,6/30/2029 0:00,12000000,23,0,115.5,0.0,1.0,2,0,0,0,953
641458,2024-07-09,24/25,199,703,Corinthians,Nottm Forest,4000000,4000000.0,Carlos Miguel,10/9/1998 0:00,Brazil,Goalkeeper,204.0,6/30/2028 0:00,4000000,25,0,,1.0,0.0,0,0,0,0,0
525247,2024-07-06,24/25,543,379,Wolves,West Ham,47500000,32000000.0,Maximilian Kilman,5/23/1997 0:00,England,Defender,194.0,6/30/2031 0:00,38000000,27,1,41.131,1.0,0.0,3,0,0,0,3308
415381,2024-07-05,24/25,234,1237,Feyenoord,Brighton,32000000,30000000.0,Mats Wieffer,11/16/1999 0:00,Netherlands,Midfield,188.0,6/30/2029 0:00,30000000,24,0,88.0,0.0,1.0,9,0,3,7,2444
262749,2024-07-04,24/25,1148,11,Brentford,Arsenal,31900000,35000000.0,David Raya,9/15/1995 0:00,Spain,Goalkeeper,183.0,6/30/2028 0:00,35000000,28,1,,0.0,1.0,1,0,0,0,3420
623570,2024-07-03,24/25,244,29,Marseille,Everton,18000000,15000000.0,Iliman Ndiaye,3/6/2000 0:00,Senegal,Attack,180.0,6/30/2029 0:00,18000000,24,1,79.0,0.0,1.0,0,0,0,0,0
475188,2024-07-02,24/25,1003,631,Leicester,Chelsea,35400000,30000000.0,Kiernan Dewsbury-Hall,9/6/1998 0:00,England,Midfield,178.0,6/30/2029 0:00,30000000,25,1,45.0,1.0,0.0,5,0,2,2,2496
689637,2024-07-02,24/25,150,873,Real Betis,Crystal Palace,15000000,15000000.0,Chadi Riad,6/17/2003 0:00,Morocco,Defender,187.0,6/30/2029 0:00,15000000,21,0,62.25,1.0,0.0,0,0,0,0,1
922693,2024-07-02,24/25,399,148,Leeds,Tottenham,41250000,18000000.0,Archie Gray,3/12/2006 0:00,England,Defender,187.0,6/30/2030 0:00,25000000,18,1,,0.0,1.0,0,0,0,0,0
124419,2024-07-01,24/25,703,762,Nottm Forest,Newcastle,23600000,7000000.0,Odysseas Vlachodimos,4/26/1994 0:00,Greece,Goalkeeper,191.0,,18000000,30,1,,0.0,1.0,2,0,0,0,4588
131978,2024-07-01,24/25,1031,405,Luton,Aston Villa,5900000,8000000.0,Ross Barkley,12/5/1993 0:00,England,Midfield,189.0,,30000000,30,1,,0.0,1.0,1,0,4,2,921
251106,2024-07-01,24/25,3709,989,Getafe,Bournemouth,16500000,18000000.0,Enes Ünal,5/10/1997 0:00,Türkiye,Attack,187.0,6/30/2028 0:00,25000000,27,0,39.347,0.0,1.0,6,0,15,5,3223
485585,2024-07-01,24/25,631,405,Chelsea,Aston Villa,44500000,40000000.0,Ian Maatsen,3/10/2002 0:00,Netherlands,Defender,178.0,6/30/2030 0:00,40000000,22,1,192.0,1.0,0.0,0,0,0,0,0
512385,2024-07-01,24/25,399,989,Leeds,Bournemouth,23400000,17000000.0,Luis Sinisterra,6/17/1999 0:00,Colombia,Attack,172.0,,25000000,25,0,,0.0,1.0,3,0,6,0,956
567576,2024-07-01,24/25,762,703,Newcastle,Nottm Forest,41200000,15000000.0,Elliot Anderson,11/6/2002 0:00,England,Midfield,179.0,6/30/2029 0:00,22000000,21,0,41.131,0.0,1.0,0,0,0,1,458
581672,2024-07-01,24/25,506,405,Juventus,Aston Villa,14000000,13000000.0,Samuel Iling-Junior,10/4/2003 0:00,England,Attack,182.0,6/30/2025 0:00,13000000,20,1,191.25,1.0,0.0,2,0,1,2,562
617018,2024-07-01,24/25,159,703,Red Star,Nottm Forest,5500000,5000000.0,Marko Stamenic,2/19/2002 0:00,New Zealand,Midfield,188.0,6/30/2025 0:00,5000000,22,0,,1.0,1.0,0,0,0,0,0
627248,2024-07-01,24/25,29,405,Everton,Aston Villa,11800000,2500000.0,Lewis Dobbin,1/3/2003 0:00,England,Attack,175.0,5/31/2025 0:00,2500000,21,1,41.131,0.0,1.0,0,0,0,0,0
670858,2024-07-01,24/25,631,762,Chelsea,Newcastle,33000000,18000000.0,Lewis Hall,9/8/2004 0:00,England,Defender,179.0,,22000000,19,1,192.0,1.0,0.0,1,0,0,0,748
671915,2024-07-01,24/25,506,405,Juventus,Aston Villa,8000000,7500000.0,Enzo Barrenechea,5/22/2001 0:00,Argentina,Midfield,186.0,6/30/2025 0:00,7500000,23,1,191.25,0.0,1.0,0,0,0,0,166
696589,2024-07-01,24/25,405,29,Aston Villa,Everton,10700000,4000000.0,Tim Iroegbunam,6/30/2003 0:00,England,Midfield,183.0,6/30/2027 0:00,10000000,21,1,47.25,0.0,1.0,0,0,0,0,0
739443,2024-07-01,24/25,2282,1148,Club Brugge,Brentford,33000000,25000000.0,Igor Thiago,6/26/2001 0:00,Brazil,Attack,191.0,6/30/2029 0:00,25000000,23,0,100.25,0.0,1.0,0,0,1,1,171
741238,2024-07-01,24/25,631,677,Chelsea,Ipswich,23500000,7000000.0,Omari Hutchinson,10/30/2003 0:00,England,Attack,174.0,6/30/2029 0:00,18000000,20,0,192.0,1.0,0.0,0,0,0,0,49
864121,2024-07-01,24/25,336,1003,Sporting CP,Leicester,16250000,10000000.0,Issahaku Fatawu,3/8/2004 0:00,Ghana,Attack,177.0,6/30/2029 0:00,13000000,20,0,109.0,1.0,0.0,2,0,0,1,245
866246,2024-07-01,24/25,1044,148,Djurgården,Tottenham,10000000,10000000.0,Lucas Bergvall,2/2/2006 0:00,Sweden,Midfield,187.0,6/30/2029 0:00,12000000,18,1,35.5,0.0,1.0,0,0,0,0,0
897481,2024-07-01,24/25,35,703,FC St. Pauli,Nottm Forest,1500000,1000000.0,Eric da Silva Moreira,5/3/2006 0:00,Germany,Attack,185.0,6/30/2028 0:00,1000000,18,0,,0.0,1.0,0,0,0,0,0
938158,2024-07-01,24/25,131,631,Barcelona,Chelsea,6000000,7500000.0,Marc Guiu,1/4/2006 0:00,Spain,Attack,187.0,6/30/2029 0:00,7500000,18,1,231.25,0.0,1.0,0,0,0,0,0
991800,2024-07-01,24/25,1023,379,Palmeiras,West Ham,23000000,24000000.0,Luis Guilherme,2/9/2006 0:00,Brazil,Attack,175.0,6/30/2029 0:00,24000000,18,1,,1.0,0.0,0,0,0,0,0
1012534,2024-07-01,24/25,762,1237,Newcastle,Brighton,35000000,16000000.0,Yankuba Minteh,7/22/2004 0:00,The Gambia,Attack,180.0,6/30/2029 0:00,28000000,19,0,41.131,1.0,0.0,3,0,2,3,636
1110406,2024-07-01,24/25,2778,1237,Nordsjaelland,Brighton,19500000,12000000.0,Ibrahim Osman,11/29/2004 0:00,Ghana,Attack,179.0,6/30/2025 0:00,12000000,19,0,12.646,0.0,1.0,0,0,1,1,280
127202,2024-02-01,23/24,667,703,R. Strasbourg,Nottm Forest,8000000,7000000.0,Matz Sels,2/26/1992 0:00,Belgium,Goalkeeper,188.0,6/30/2027 0:00,8000000,31,0,25.065,0.0,1.0,2,0,0,0,1710
503743,2024-02-01,23/24,641,405,Middlesbrough,Aston Villa,9400000,2800000.0,Morgan Rogers,7/26/2002 0:00,England,Midfield,187.0,6/30/2030 0:00,22000000,21,1,,0.0,1.0,2,0,5,3,541
591844,2024-02-01,23/24,875,405,Adelaide United,Aston Villa,1500000,550000.0,Joe Gauci,7/4/2000 0:00,Australia,Goalkeeper,194.0,6/30/2028 0:00,1500000,23,1,,0.0,1.0,0,0,0,0,0
744149,2024-02-01,23/24,164,873,Blackburn,Crystal Palace,21100000,10000000.0,Adam Wharton,2/6/2004 0:00,England,Midfield,182.0,6/30/2029 0:00,30000000,20,0,,1.0,0.0,0,0,0,0,255
387191,2024-01-30,23/24,475,1031,Sint-Truiden,Luton,2000000,2000000.0,Daiki Hashioka,5/17/1999 0:00,Japan,Defender,184.0,,2000000,24,0,,0.0,1.0,4,0,2,2,1506
493003,2024-01-30,23/24,1184,873,KRC Genk,Crystal Palace,8000000,10000000.0,Daniel Muñoz,5/26/1996 0:00,Colombia,Defender,181.0,6/30/2027 0:00,23000000,27,0,41.0,0.0,1.0,6,0,5,2,1864
488935,2024-01-26,23/24,1101,1148,Elfsborg,Brentford,3000000,1800000.0,Hákon Rafn Valdimarsson,10/13/2001 0:00,Iceland,Goalkeeper,195.0,6/30/2028 0:00,2500000,22,0,8.48,0.0,1.0,0,0,0,0,0
848682,2024-01-22,23/24,159,405,Red Star,Aston Villa,7600000,2500000.0,Kosta Nedeljkovic,12/16/2005 0:00,Serbia,Defender,184.0,6/30/2029 0:00,8000000,18,1,,0.0,1.0,0,0,0,0,0
849410,2024-01-20,23/24,189,1237,Boca Juniors,Brighton,9150000,13000000.0,Valentín Barco,7/23/2004 0:00,Argentina,Defender,170.0,6/30/2025 0:00,13000000,19,0,,1.0,0.0,0,0,0,0,0
