player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,name,date_of_birth,country_of_citizenship,position,height_in_cm,contract_expiration_date,highest_market_value_in_eur,age_at_transfer,is_owner_mogul,from_club_uefa_coeff,plays_left_foot,plays_right_foot
338424,8/27/2024,24/25,681,11,Real Sociedad,Arsenal,32000000,50000000.0,Mikel Merino,6/22/1996 0:00,Spain,Midfield,189.0,6/30/2028 0:00,50000000,28,1,74.0,1,0
502676,8/27/2024,24/25,1049,31,Valencia,Liverpool,30000000,45000000.0,Giorgi Mamardashvili,9/29/2000 0:00,Georgia,Goalkeeper,197.0,6/30/2025 0:00,45000000,23,1,54.0,1,0
834397,8/27/2024,24/25,1184,631,KRC Genk,Chelsea,20000000,1000000.0,Mike Penders,7/31/2005 0:00,Belgium,Goalkeeper,200.0,6/30/2025 0:00,5000000,19,1,41.0,1,0
406634,8/26/2024,24/25,371,1237,Celtic,Brighton,29500000,20000000.0,Matt O'Riley,11/21/2000 0:00,Denmark,Midfield,189.0,6/30/2029 0:00,20000000,23,0,72.0,1,0
401320,8/25/2024,24/25,1132,677,Burnley,Ipswich,14200000,7000000.0,Dara O'Shea,3/4/1999 0:00,Ireland,Defender,189.0,6/30/2029 0:00,10000000,25,0,41.131,0,1
498237,8/25/2024,24/25,720,703,FC Porto,Nottm Forest,11000000,12000000.0,David Carmo,7/19/1999 0:00,Angola,Defender,196.0,6/30/2025 0:00,20000000,25,0,154.75,1,0
369316,8/24/2024,24/25,36,1237,Fenerbahce,Brighton,30000000,30000000.0,Ferdi Kadıoğlu,10/7/1999 0:00,Türkiye,Defender,174.0,6/30/2028 0:00,30000000,24,0,78.75,0,1
559794,8/24/2024,24/25,289,677,Sunderland,Ipswich,17700000,15000000.0,Jack Clarke,11/23/2000 0:00,England,Attack,181.0,6/30/2029 0:00,15000000,23,0,,0,1
108354,8/23/2024,24/25,873,1003,Crystal Palace,Leicester,5900000,4000000.0,Jordan Ayew,9/11/1991 0:00,Ghana,Attack,182.0,6/30/2026 0:00,10000000,32,0,,0,1
260827,8/23/2024,24/25,873,931,Crystal Palace,Fulham,29500000,35000000.0,Joachim Andersen,5/31/1996 0:00,Denmark,Defender,192.0,6/30/2029 0:00,35000000,28,1,,0,1
333014,8/22/2024,24/25,1132,931,Burnley,Fulham,23550000,20000000.0,Sander Berge,2/14/1998 0:00,Norway,Midfield,195.0,6/30/2029 0:00,22000000,26,1,41.131,0,1
541231,8/22/2024,24/25,31,1148,Liverpool,Brentford,23600000,12000000.0,Sepp van den Berg,12/20/2001 0:00,Netherlands,Defender,192.0,6/30/2029 0:00,18000000,22,0,224.5,0,1
462250,8/21/2024,24/25,13,631,Atlético Madrid,Chelsea,52000000,30000000.0,João Félix,11/10/1999 0:00,Portugal,Attack,181.0,6/30/2031 0:00,100000000,24,1,220.5,0,1
406638,8/19/2024,24/25,148,1003,Tottenham,Leicester,23500000,15000000.0,Oliver Skipp,9/16/2000 0:00,England,Midfield,175.0,6/30/2029 0:00,20000000,23,0,155.25,0,1
538977,8/19/2024,24/25,399,1237,Leeds,Brighton,46700000,18000000.0,Georginio Rutter,4/20/2002 0:00,France,Attack,182.0,6/30/2028 0:00,28000000,22,0,,1,0
292139,8/16/2024,24/25,164,677,Blackburn,Ipswich,10600000,7000000.0,Sammie Szmodics,9/24/1995 0:00,Ireland,Midfield,168.0,6/30/2028 0:00,10000000,28,0,,0,1
711337,8/16/2024,24/25,720,989,FC Porto,Bournemouth,37000000,35000000.0,Evanilson,10/6/1999 0:00,Brazil,Attack,183.0,,35000000,24,0,154.75,1,1
743498,8/16/2024,24/25,1132,148,Burnley,Tottenham,29300000,10000000.0,Wilson Odobert,11/28/2004 0:00,France,Attack,182.0,6/30/2029 0:00,18000000,19,1,41.131,0,1
745191,8/16/2024,24/25,3938,703,CA Talleres,Nottm Forest,12000000,13000000.0,Ramón Sosa,8/31/1999 0:00,Paraguay,Attack,179.0,6/30/2029 0:00,13000000,24,0,,0,1
700106,8/14/2024,24/25,39,1237,1.FSV Mainz 05,Brighton,31500000,20000000.0,Brajan Gruda,5/31/2004 0:00,Germany,Attack,178.0,6/30/2028 0:00,25000000,20,0,32.223,1,0
326031,8/13/2024,24/25,27,985,Bayern Munich,Man Utd,45000000,65000000.0,Matthijs de Ligt,8/12/1999 0:00,Netherlands,Defender,189.0,6/30/2029 0:00,75000000,25,1,271.25,0,1
340456,8/13/2024,24/25,27,985,Bayern Munich,Man Utd,15000000,30000000.0,Noussair Mazraoui,11/14/1997 0:00,Morocco,Defender,183.0,6/30/2028 0:00,30000000,26,1,271.25,0,1
477758,8/13/2024,24/25,985,379,Man Utd,West Ham,17600000,20000000.0,Aaron Wan-Bissaka,11/26/1997 0:00,England,Defender,183.0,6/30/2031 0:00,40000000,26,1,202.5,0,1
513970,8/13/2024,24/25,131,989,Barcelona,Bournemouth,10000000,8000000.0,Julián Araujo,8/13/2001 0:00,Mexico,Defender,176.0,6/30/2029 0:00,8000000,23,0,231.25,0,1
559263,8/12/2024,24/25,31,1148,Liverpool,Brentford,23400000,14000000.0,Fábio Carvalho,8/30/2002 0:00,Portugal,Midfield,170.0,6/30/2029 0:00,20000000,21,0,224.5,0,1
487465,8/11/2024,24/25,543,631,Wolves,Chelsea,60000000,55000000.0,Pedro Neto,3/9/2000 0:00,Portugal,Attack,173.0,6/30/2031 0:00,55000000,24,1,41.131,1,0
258889,8/10/2024,24/25,989,148,Bournemouth,Tottenham,64300000,40000000.0,Dominic Solanke,9/14/1997 0:00,England,Attack,186.0,6/30/2030 0:00,45000000,26,1,,0,1
609556,8/8/2024,24/25,350,762,Sheff Utd,Newcastle,11600000,3000000.0,William Osula,8/4/2003 0:00,Denmark,Attack,186.0,6/30/2029 0:00,7000000,21,1,,0,1
75489,8/5/2024,24/25,16,379,Bor. Dortmund,West Ham,27000000,15000000.0,Niclas Füllkrug,2/9/1993 0:00,Germany,Attack,189.0,6/30/2028 0:00,15000000,31,1,191.75,0,1
474701,8/3/2024,24/25,399,379,Leeds,West Ham,29300000,20000000.0,Crysencio Summerville,10/30/2001 0:00,Netherlands,Attack,174.0,6/30/2029 0:00,22000000,22,1,,0,1
494880,8/3/2024,24/25,1050,931,Villarreal,Fulham,6700000,6000000.0,Jorge Cuenca,11/17/1999 0:00,Spain,Defender,190.0,6/30/2028 0:00,8000000,24,1,138.0,1,0
